session id;brick height;paddle speed;ball speed;paddle length;ball size;time;paddle distance;ballHits;ballBounces;amount of bricks;win/lose;type of personality;playerAPM;playerReactionTime;playerPaddleSafety;GEQ - content;GEQ - skillful;GEQ - occupied;GEQ - difficulty;satisfaction
1;3;25;7;20;4;19.00024;376;5;16;22;0;1;172.5737;0.03319016;1.161863;2;1;3;5;10
2;3;25;7;20;4;40.84074;553;14;33;9;0;2;397.9774;0.005428081;1.258794;4;2;4;3;11.75
3;3;25;7;20;4;9.120019;163;5;9;22;0;3;194.3887;0.0321772;1.001356;2;2;2;3;8.5
4;2.011147;35;6.417525;30;4.729524;12.44009;404;5;11;20;0;3;194.3887;0.0321772;1.001356;3;2;2;3;10
5;3.040164;35;10.71578;12.89621;3.789336;1.04;30;0;3;25;0;3;194.3887;0.0321772;1.001356;3;4;1;2;9.75
6;5;35;9.931972;30;3.057897;8.400002;190.7001;2;10;23;0;3;194.3887;0.0321772;1.001356;3;4;1;3;10.25
7;3.877739;25.2977;10.22502;16.66839;2;2.799998;49.02518;1;4;25;0;3;194.3887;0.0321772;1.001356;3;5;2;3;12.25
8;4.619282;16.64956;2;21.7812;3.586246;24.46037;203.2555;3;8;23;0;3;194.3887;0.0321772;1.001356;3;3;1;2;9
9;4.254747;35;2.113063;15.06254;2;54.50106;1277.486;8;15;18;0;3;194.3887;0.0321772;1.001356;3;1;2;2;8.75
10;2.286831;24.8949;9.102667;30;3.614036;1.02;33.62012;0;2;26;0;3;194.3887;0.0321772;1.001356;3;4;1;1;9.25
1;2.018808;28.20933;2;26.95723;4.108996;33.78058;546.04;11;22;14;0;5;458.9761;0.006679907;1.126815;3;1;4;5;12.75
2;3.877768;25.90716;3.423857;28.23088;6;67.46069;936.7327;32;43;9;0;5;458.9761;0.006679907;1.126815;3;1;5;5;14
3;1;25.98603;9.519757;19.32998;2;4.679996;77.86723;4;8;22;0;5;458.9761;0.006679907;1.126815;2;1;3;4;9.5
4;3.482734;34.51543;2;22.42659;4.998754;107.434;2563.194;28;68;0;1;5;458.9761;0.006679907;1.126815;4;2;3;4;13.25
5;1;23.44221;7.313043;30;2;3.019998;48.71544;1;4;25;0;5;458.9761;0.006679907;1.126815;2;2;1;4;7.75
6;4.29654;19.29178;4.757989;14.06875;2.792433;44.34082;304.8336;10;28;14;0;5;458.9761;0.006679907;1.126815;4;3;4;5;15.75
7;2.181713;23.72809;9.699247;23.00823;5.557037;0.9199997;24.9955;0;3;25;0;5;458.9761;0.006679907;1.126815;2;2;0;3;6
8;1;35;6.522654;28.08355;2.978609;1.06;33.2179;0;3;25;0;5;458.9761;0.006679907;1.126815;2;2;0;3;6
9;3.157744;35;12;15.20017;6;1.819999;45.49999;1;4;25;0;5;458.9761;0.006679907;1.126815;2;2;2;4;9
10;1;15;2.305579;21.62599;4.670938;83.518;219.6997;23;48;0;1;5;458.9761;0.006679907;1.126815;4;3;4;4;15.25
1;1.040438;35;5.48731;26.40427;6;11.98008;311.1001;9;8;23;0;4;172.931;0.009915123;1.261978;1;0;2;5;7
2;5;23.70165;7.721077;24.65565;5.261853;5.899995;92.31542;5;5;25;0;4;172.931;0.009915123;1.261978;1;0;2;4;6
3;1;15;2;18.37546;4.083494;52.041;437.9776;12;45;4;0;4;172.931;0.009915123;1.261978;4;4;4;4;16
4;3.242145;15;12;30;5.378051;4.359997;48.30002;3;6;23;0;4;172.931;0.009915123;1.261978;2;1;2;3;7.5
5;4.664047;33.33028;2.984409;16.6125;2.48248;34.28059;720.169;6;13;21;0;4;172.931;0.009915123;1.261978;2;0;2;4;7
6;2.352287;17.10616;10.92714;30;2;0.9399996;17.70147;0;3;26;0;4;172.931;0.009915123;1.261978;3;2;1;1;7.5
7;5;22.1607;2;10;3.612218;45.74086;724.713;22;12;20;0;4;172.931;0.009915123;1.261978;1;0;3;5;7.5
8;1.679988;15;8.699024;30;6;30.68051;361.1504;16;51;2;0;4;172.931;0.009915123;1.261978;4;2;5;5;14.5
9;4.13724;33.67842;9.230165;21.94904;3.927986;1.419999;40.5978;0;4;25;0;4;172.931;0.009915123;1.261978;3;2;1;2;8.5
10;4.814414;33.07357;5.44248;26.69678;3.746236;2.619998;92.88049;0;3;26;0;4;172.931;0.009915123;1.261978;3;2;1;1;7.5
1;4.169724;35;11.42209;14.7903;3.643647;2.519998;59.74675;1;4;25;0;6;230.905;0.03341738;1.263968;2;2;1;4;7.75
2;2.953567;16.73375;2;30;2;173.7603;530.3625;21;44;0;1;6;380.905;0.009417377;1.263968;3;3;4;3;13.25
3;1;20.12317;4.270823;28.77541;3.445631;64.50119;420.2757;27;55;0;1;6;380.905;0.009417377;1.263968;4;3;5;4;16.5
4;5;29.11986;10.16595;26.36064;4.659838;26.10041;350.2327;10;28;13;0;6;380.905;0.009417377;1.263968;3;2;4;5;13.5
5;3.364447;29.22416;4.624619;30;3.897682;58.12114;903.1189;16;39;6;0;6;380.905;0.009417377;1.263968;3;1;4;5;12.75
6;1;18.7419;6.31808;19.3073;4.708307;4.059997;31.11921;3;7;21;0;6;380.905;0.009417377;1.263968;2;3;2;4;9.75
7;5;16.90543;12;10;2;1.279999;15.54375;0;2;26;0;6;380.905;0.009417377;1.263968;2;2;0;2;5.5
8;3.062681;28.90605;3.76131;26.11129;2;56.10109;737.2369;15;33;9;0;6;380.905;0.009417377;1.263968;3;1;4;5;12.75
9;5;35;2.562926;19.26923;5.87436;50.34096;1095.147;14;32;13;0;6;380.905;0.009417377;1.263968;3;1;3;5;11.5
