session id;time;paddle distance;ballHits;ballBounces;amount of bricks;win/lose;type of personality;playerAPM;playerReactionTime;playerPaddleSafety;GEQ - content;GEQ - skillful;GEQ - occupied;GEQ - difficulty;satisfaction;brick height_rl;paddle speed_rl;ball speed_rl;paddle length_rl;ball size_rl;brick height_multi;paddle speed_multi;ball speed_multi;paddle length_multi;ball size_multi;brick height_single;paddle speed_single;ball speed_single;paddle length_single;ball size_single
3;87.61731;505.9999;19;63;0;1;2;397.9774;0.0054280809999999995;1.258794;5;3;3;4;14.75;2.363732;15.0;2.0;29.73532;6.0;4.064923589100942;16.187082021553287;7.253283694104774;29.638952982524227;4.005232364139832;4.061416298772176;16.21664939104093;7.2039327150966415;29.648473238657544;3.976139946707776
9;41.26075;283.7996;15;49;0;1;2;397.9774;0.0054280809999999995;1.258794;5;3;4;5;16.5;2.142762;15.0;3.4547260000000004;30.0;6.0;4.064923589100942;16.187082021553287;7.253283694104774;29.638952982524227;4.005232364139832;4.061416298772176;16.21664939104093;7.2039327150966415;29.648473238657544;3.976139946707776
4;148.1548;440.0;30;59;0;1;5;473.5743;0.007544647;1.154614;4;3;4;3;14.75;4.6965650000000005;15.0;2.0;20.56829;6.0;3.8209700390755374;17.13122972970949;5.0235649753746054;28.643146366835;4.213406497615596;3.8019475503036935;17.083133528467034;5.004680552013839;28.692645840199177;4.190636605264031
6;83.71795999999999;404.2999;29;64;0;1;5;473.5743;0.007544647;1.154614;4;3;4;4;15.25;2.431114;15.0;2.0;30.0;6.0;3.8209700390755374;17.13122972970949;5.0235649753746054;28.643146366835;4.213406497615596;3.8019475503036935;17.083133528467034;5.004680552013839;28.692645840199177;4.190636605264031
10;108.4938;616.6018;29;71;0;1;5;473.5743;0.007544647;1.154614;4;3;4;4;15.25;5.0;15.0;2.0;30.0;6.0;3.8209700390755374;17.13122972970949;5.0235649753746054;28.643146366835;4.213406497615596;3.8019475503036935;17.083133528467034;5.004680552013839;28.692645840199177;4.190636605264031
4;146.4745;699.4371;36;70;0;1;6;382.4972;0.009612706;1.019206;4;3;4;4;15.25;5.0;15.0;2.0;30.0;6.0;4.001951998174558;16.694849773035806;4.782747826467267;29.223964433028073;4.334741912376802;4.039419909309497;16.994958576512634;4.933972504542415;29.368993408692926;4.3812598073309035
7;72.37987;389.6998;32;64;0;1;6;382.4972;0.009612706;1.019206;4;3;5;4;16.5;4.15705;15.0;7.3904119999999995;30.0;6.0;4.001951998174558;16.694849773035806;4.782747826467267;29.223964433028073;4.334741912376802;4.039419909309497;16.994958576512634;4.933972504542415;29.368993408692926;4.3812598073309035
2;37.040659999999995;215.5997;11;21;15;0;1;212.1012;0.03423861;1.041402;5;2;4;5;16.5;3.8187230000000003;15.0;2.0;18.28201;6.0;4.238551634157433;17.098346810004934;4.013803293862374;29.034221918211355;4.6482191363067535;4.247583993681589;16.72689657335988;4.208545575679191;29.265984296368963;4.61229270903472
4;63.40126;519.1002;27;61;0;1;1;212.1012;0.03423861;1.041402;5;3;5;4;18.0;2.887171;15.0;2.0;30.0;6.0;4.238551634157433;17.098346810004934;4.013803293862374;29.034221918211355;4.6482191363067535;4.247583993681589;16.72689657335988;4.208545575679191;29.265984296368963;4.61229270903472
6;138.8728;593.9014;23;44;6;0;1;212.1012;0.03423861;1.041402;5;2;4;4;16.0;3.8844529999999997;15.0;2.0;23.3951;6.0;4.238551634157433;17.098346810004934;4.013803293862374;29.034221918211355;4.6482191363067535;4.247583993681589;16.72689657335988;4.208545575679191;29.265984296368963;4.61229270903472
8;73.9796;329.5997;13;61;0;1;1;212.1012;0.03423861;1.041402;5;5;4;3;17.75;3.333131;15.0;2.0;29.98824;6.0;4.238551634157433;17.098346810004934;4.013803293862374;29.034221918211355;4.6482191363067535;4.247583993681589;16.72689657335988;4.208545575679191;29.265984296368963;4.61229270903472
9;44.66083;230.5996;5;10;20;0;1;212.1012;0.03423861;1.041402;4;2;4;4;14.5;5.0;15.0;2.150358;21.44013;6.0;4.238551634157433;17.098346810004934;4.013803293862374;29.034221918211355;4.6482191363067535;4.247583993681589;16.72689657335988;4.208545575679191;29.265984296368963;4.61229270903472
10;24.48037;223.9997;11;26;13;0;1;212.1012;0.03423861;1.041402;4;3;5;5;17.0;2.9630970000000003;15.0;9.048067999999999;27.073590000000003;6.0;4.238551634157433;17.098346810004934;4.013803293862374;29.034221918211355;4.6482191363067535;4.247583993681589;16.72689657335988;4.208545575679191;29.265984296368963;4.61229270903472
